,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
3061,17,Roberts Stravenue,Marilyn,Marsh,49,Daughter,Single,Female,Camera operator,None,None
3062,18,Roberts Stravenue,Heather,Rogers,29,Head,Divorced,Female,Unemployed,None,Catholic
3063,18,Roberts Stravenue,Ann,Austin,50,Lodger,Single,Female,Office manager,None,None
3064,18,Roberts Stravenue,Allan,Naylor,20,Cousin,Single,Male,University Student,None,None
3065,18,Roberts Stravenue,Oliver,Fox,37,Lodger,Divorced,Male,"Radiographer, therapeutic",None,Christian
3066,19,Roberts Stravenue,Victoria,Johnson,48,Head,Married,Female,Armed forces operational officer,None,None
3067,19,Roberts Stravenue,Colin,Johnson,50,Husband,Married,Male,Product designer,None,None
3068,20,Roberts Stravenue,Jodie,Rowe,34,Head,Married,Female,"Pharmacist, hospital",None,None
3069,20,Roberts Stravenue,Clive,Rowe,41,Husband,Married,Male,"Physicist, medical",None,None
3070,20,Roberts Stravenue,Annette,Rowe,4,Daughter,NA,Female,Child,None,NA
3071,20,Roberts Stravenue,Elliott,Rowe,2,Son,NA,Male,Child,None,NA
3072,21,Roberts Stravenue,Chelsea,Bailey,43,Head,Divorced,Female,Unemployed,None,Catholic
3073,21,Roberts Stravenue,Mohammed,Bailey,9,Son,NA,Male,Student,None,NA
3074,21,Roberts Stravenue,Jodie,Bailey,8,Daughter,NA,Female,Student,None,NA
3075,21,Roberts Stravenue,Maurice,Bailey,4,Son,NA,Male,Child,None,NA
3076,22,Roberts Stravenue,Danny,Patterson,41,Head,Divorced,Male,Unemployed,None,Christian
3077,22,Roberts Stravenue,Terry,Patterson,11,Son,NA,Male,Student,None,NA
3078,23,Roberts Stravenue,Connor,Connolly,52,Head,Single,Male,Multimedia specialist,None,Christian
3079,23,Roberts Stravenue,Cheryl,Ellis,44,None,Single,Female,Unemployed,None,Methodist
3080,24,Roberts Stravenue,Bruce,Foster,63,Head,Married,Male,Software engineer,None,Christian
3081,24,Roberts Stravenue,Gail,Johnson,61,Wife,Married,Female,Passenger transport manager,None,Christian
3082,25,Roberts Stravenue,Margaret,Lewis,43,Head,Divorced,Female,Jewellery designer,None,Sikh
3083,26,Roberts Stravenue,Mark,Simpson,51,Head,Married,Male,Petroleum engineer,None,None
3084,26,Roberts Stravenue,Jayne,Simpson,49,Wife,Married,Female,"Scientist, audiological",None,None
3085,26,Roberts Stravenue,Marc,Simpson,16,Son,NA,Male,Student,None,NA
3086,27,Roberts Stravenue,Shirley,Williams,37,Head,Married,Female,"Nurse, mental health",None,Catholic
3087,27,Roberts Stravenue,Billy,Williams,39,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,Catholic
3088,28,Roberts Stravenue,Sam,Khan,50,Head,Married,Male,Transport planner,None,Catholic
3089,28,Roberts Stravenue,Julie,Khan,48,Wife,Married,female,Government social research officer,None,Catholic
3090,29,Roberts Stravenue,Benjamin,Williams,29,Head,Divorced,Male,Unemployed,None,Methodist
3091,29,Roberts Stravenue,Caroline,Williams,12,Daughter,NA,Female,Student,None,NA
3092,29,Roberts Stravenue,Hazel,Williams,8,Daughter,NA,Female,Student,None,NA
3093,29,Roberts Stravenue,Naomi,Williams,7,Daughter,NA,Female,Student,None,NA
3094,30,Roberts Stravenue,Naomi,North,21,Head,Single,Female,University Student,None,None
3095,30,Roberts Stravenue,Leslie,Matthews,18,None,Single,Male,University Student,None,None
3096,31,Roberts Stravenue,Catherine,Matthews,37,Head,Divorced,Female,"Engineer, mining",None,None
3097,31,Roberts Stravenue,Paula,Johnson,17,Neice,NA,Female,Student,None,NA
3098,32,Roberts Stravenue,Charlene,Kaur,39,Head,Single,Female,Media buyer,None,None
3099,32,Roberts Stravenue,Allan,Jones-Kaur,11,Son,NA,Male,Student,None,NA
3100,32,Roberts Stravenue,Lynda,Jones-Kaur,8,Daughter,NA,Female,Student,None,NA
3101,32,Roberts Stravenue,Kim,Jones-Kaur,8,Daughter,NA,Female,Student,None,NA
3102,33,Roberts Stravenue,Diana,Robson,49,Head,Divorced,Female,Biomedical engineer,None,Methodist
3103,34,Roberts Stravenue,Alison,Griffiths,35,Head,Divorced,Female,"Merchandiser, retail",None,None
3104,34,Roberts Stravenue,Roger,Fox,18,Son,Single,Male,Student,None,None
3105,34,Roberts Stravenue,Jacqueline,Fox,17,Daughter,NA,Female,Student,None,NA
3106,34,Roberts Stravenue,Joe,Wheeler-Fox,15,Son,NA,Male,Student,None,NA
3107,34,Roberts Stravenue,Katy,Wheeler-Fox,11,Daughter,NA,Female,Student,None,NA
3108,35,Roberts Stravenue,Janet,Clarke,34,Head,Single,Female,Psychiatric nurse,None,Catholic
3109,35,Roberts Stravenue,Kimberley,Martin,24,None,Single,Female,"Surveyor, planning and development",None,None
3110,36,Roberts Stravenue,Joan,Watts,70,Head,Married,Female,Retired Chief Marketing Officer,None,Christian
3111,36,Roberts Stravenue,Eric,Watts,72,Husband,Married,Male,Retired Fashion designer,None,None
3112,37,Roberts Stravenue,Dominic,King,45,Head,Divorced,Male,"Copywriter, advertising",None,Catholic
3113,37,Roberts Stravenue,Abdul,Dunn,64,None,Single,Male,"Editor, film/video",None,Christian
3114,37,Roberts Stravenue,Ross,Roberts,20,None,Single,Male,University Student,None,Catholic
3115,38,Roberts Stravenue,Sally,Fletcher,41,Head,Single,Female,Toxicologist,None,Catholic
3116,39,Roberts Stravenue,Danielle,Ferguson,58,Head,Married,Female,Counselling psychologist,None,None
3117,39,Roberts Stravenue,Anthony,Ferguson,64,Husband,Married,Male,Barrister,None,None
3118,39,Roberts Stravenue,Geoffrey,Ferguson,14,Son,NA,Male,Student,None,NA
3119,40,Roberts Stravenue,Jack,Lawson,47,Head,Single,Male,Environmental education officer,None,None
3120,40,Roberts Stravenue,Donna,Fraser,49,Partner,Single,Female,"Teacher, special educational needs",None,None
3121,41,Roberts Stravenue,Connor,Burke,51,Head,Single,Male,Unemployed,None,Christian
3122,41,Roberts Stravenue,Janice,Baker,51,Partner,Single,Female,Barrister's clerk,None,Christian
3123,42,Roberts Stravenue,Beth,Harrison-Barnett,28,Head,Single,Female,Unemployed,None,Christian
3124,42,Roberts Stravenue,Frances,Harrison-Barnett,2,Daughter,NA,Female,Child,None,NA
3125,43,Roberts Stravenue,Joshua,Patel,36,Head,Single,Male,Illustrator,None,Methodist
3126,44,Roberts Stravenue,Shane,Hughes,23,Head,Married,Male,"Surveyor, insurance",None,Christian
3127,44,Roberts Stravenue,Lynda,Hughes,21,Wife,Married,Female,University Student,None,Christian
3128,45,Roberts Stravenue,Rachel,Bradley,33,Head,D,Female,IT trainer,None,Christian
3129,46,Roberts Stravenue,Rebecca,Hunt,34,Head,Single,Female,Ceramics designer,None,Methodist
3130,46,Roberts Stravenue,Rhys,Phillips,38,Partner,Single,Male,"Teacher, early years/pre",None,None
3131,46,Roberts Stravenue,Martin,Hunt,12,Son,NA,Male,Student,None,NA
3132,46,Roberts Stravenue,Scott,Hunt,12,Son,NA,Male,Student,None,NA
3133,47,Roberts Stravenue,Rosie,Bird,36,Head,Divorced,Female,Database administrator,None,Catholic
3134,47,Roberts Stravenue,Jamie,Bird,6,Son,NA,Male,Student,None,NA
3135,48,Roberts Stravenue,Justin,Thomas,46,Head,Single,Male,"Geneticist, molecular",None,Catholic
3136,49,Roberts Stravenue,Claire,Roberts,33,Head,Married,Female,IT technical support officer,None,Catholic
3137,49,Roberts Stravenue,Jamie,Roberts,36,Husband,Married,Male,Charity officer,None,Catholic
3138,49,Roberts Stravenue,Aaron,Roberts,6,Son,NA,Male,Student,None,NA
3139,50,Roberts Stravenue,Megan,Walker,25,Head,Single,Female,"Lecturer, further education",None,Jewish
3140,50,Roberts Stravenue,Stewart,Walker,1,Son,NA,Male,Child,None,NA
3141,1,Cooper Street,Sylvia,Smith,76,Head,Divorced,Female,Retired Diplomatic Services operational officer,None,Christian
3142,2,Cooper Street,Graham,Read,63,Head,Married,Male,Building services engineer,None,Christian
3143,2,Cooper Street,Jill,Read,60,Wife,Married,Female,"Horticulturist, amenity",None,Christian
3144,3,Cooper Street,Danielle,Holland,90,Head,Married,Female,Retired Television floor manager,None,None
3145,3,Cooper Street,Peter,Holland,91,Husband,Married,Male,Retired Barista,None,None
3146,4,Cooper Street,Graeme,Macdonald-Hunt,36,Head,Widowed,Male,Unemployed,None,None
3147,4,Cooper Street,Kieran,Jones,18,Cousin,Single,Male,Student,None,NA
3148,4,Cooper Street,Declan,West,60,Lodger,Single,Male,Unemployed,None,Methodist
3149,4,Cooper Street,Claire,Saunders,51,Lodger,Widowed,Female,Environmental education officer,None,Christian
3150,5,Cooper Street,Mohamed,Finch,26,Head,Single,Male,PhD Student,None,None
3151,5,Cooper Street,Jordan,Knight,18,None,Single,Male,University Student,None,None
3152,5,Cooper Street,Cheryl,White,18,None,Single,Female,University Student,None,Catholic
3153,5,Cooper Street,Samantha,Baker,19,None,Single,Female,University Student,None,None
3154,6,Cooper Street,Nathan,James,29,Head,Divorced,Male,"Clinical scientist, histocompatibility and immunogenetics",None,None
3155,6,Cooper Street,Paula,James,2,Daughter,NA,Female,Child,None,NA
3156,6,Cooper Street,Timothy,James,0,Son,NA,Male,Child,None,NA
3157,6,Cooper Street,Laura,Clarke,23,Cousin,Divorced,Female,Lexicographer,None,Catholic
3158,7,Cooper Street,Lydia,Mitchell,61,Head,Married,Female,Mudlogger,None,Christian
3159,7,Cooper Street,Stuart,Mitchell,63,Husband,Married,Male,Editorial assistant,None,Christian
3160,7,Cooper Street,Aimee,Mitchell,23,Daughter,Single,Female,"Scientist, water quality",None,None
3161,7,Cooper Street,Nicholas,Mitchell,19,Son,Single,Male,University Student,None,None
3162,7,Cooper Street,Adam,Mitchell,5,Son,NA,Male,Student,None,NA
3163,8,Cooper Street,Marilyn,Moore,68,Head,Married,Female,"Retired Psychotherapist, child",None,Catholic
3164,8,Cooper Street,Raymond,Moore,69,Husband,Married,Male,Retired IT consultant,None,None
3165,8,Cooper Street,Beverley,Moore,21,Granddaughter,Single,Female,University Student,None,Catholic
3166,8,Cooper Street,Hannah,Moore,19,Granddaughter,Single,Female,University Student,None,Catholic
3167,9,Cooper Street,Hazel,Grant,22,Head,Single,Female,"Scientist, audiological",None,Methodist
3168,9,Cooper Street,Gerard,Webb,26,Partner,Single,Male,Plant breeder/geneticist,None,Methodist
3169,9,Cooper Street,Neil,Grant,0,Son,NA,Male,Child,None,NA
3170,9,Cooper Street,Garry,Marsden,29,Lodger,Single,Male,Magazine features editor,None,None
3171,10,Cooper Street,Leanne,Spencer,56,Head,Married,female,Industrial/product designer,None,Christian
3172,10,Cooper Street,Francis,Spencer,59,Husband,Married,male,Energy manager,None,Christian
3173,10,Cooper Street,Russell,Spencer,13,Son,NA,Male,Student,None,NA
3174,10,Cooper Street,Danny,Spencer,10,Son,NA,Male,Student,None,NA
3175,11,Cooper Street,Lorraine,Peacock,52,Head,Single,Female,Geophysical data processor,None,Christian
3176,11,Cooper Street,Kenneth,White,55,Partner,Single,Male,Advice worker,None,Christian
3177,11,Cooper Street,Jodie,Peacock,19,Daughter,Single,Female,University Student,None,None
3178,11,Cooper Street,Yvonne,Peacock,18,Daughter,Divorced,Female,Student,None,Christian
3179,11,Cooper Street,Emma,Peacock,16,Adopted Daughter,NA,Female,Student,None,NA
3180,11,Cooper Street,Gavin,Peacock,16,Son,NA,Male,Student,None,NA
3181,12,Cooper Street,Brett,Simpson,41,Head,Single,Male,Intelligence analyst,None,Catholic
3182,13,Cooper Street,Sophie,French,40,Head,Married,Female,"Programmer, applications",None,Methodist
3183,13,Cooper Street,Abdul,French,43,Husband,Married,Male,"Pharmacist, hospital",None,Methodist
3184,13,Cooper Street,Harry,French,13,Son,NA,Male,Student,None,NA
3185,13,Cooper Street,Bradley,French,9,Son,NA,Male,Student,None,NA
3186,14,Cooper Street,Frances,Henderson,38,Head,Married,Female,Secondary school teacher,None,Methodist
3187,14,Cooper Street,Clive,Henderson,32,Husband,Married,Male,Astronomer,None,None
3188,14,Cooper Street,Roger,Henderson,4,Son,NA,Male,Child,None,NA
3189,14,Cooper Street,Rachel,Henderson,3,Daughter,NA,Female,Child,None,NA
3190,14,Cooper Street,Danielle,Henderson,1,Daughter,NA,Female,Child,None,NA
3191,14,Cooper Street,Hayley,Brookes,35,Lodger,Single,Female,Exhibition designer,None,Catholic
3192,15,Cooper Street,Georgina,Ford,70,Head,Widowed,Female,"Retired Editor, film/video",None,None
3193,15,Cooper Street,Declan,Ford,35,Son,Single,Male,Tax adviser,None,None
3194,15,Cooper Street,Ronald,Ford,31,Son,Single,Male,Mining engineer,None,None
3195,15,Cooper Street,Helen,Ford,31,Daughter,Single,Female,Senior tax professional/tax inspector,None,None
3196,15,Cooper Street,Kelly,Ford,30,Daughter,Single,Female,Cabin crew,None,None
3197,15,Cooper Street,Callum,Davies,28,Son,Single,Male,Structural engineer,None,None
3198,16,Cooper Street,Mohammad,Bryan,28,Head,Married,Male,"Exhibitions officer, museum/gallery",None,None
3199,16,Cooper Street,Natalie,Bryan,25,Wife,Married,Female,Cytogeneticist,None,None
3200,16,Cooper Street,Natasha,Gill,32,Lodger,Divorced,Female,"Presenter, broadcasting",None,None
3201,16,Cooper Street,Laura,James,56,Sibling,Single,Female,English as a second language teacher,None,Christian
3202,17,Cooper Street,Nicholas,Bradshaw,26,Head,Single,Male,Chartered loss adjuster,None,Christian
3203,18,Cooper Street,Karen,Bates,21,Head,Single,Female,Ecologist,None,None
3204,18,Cooper Street,Damien,Powell,20,Partner,Single,Male,University Student,None,None
3205,19,Cooper Street,Marie,Clarke,40,Head,Married,Female,Orthoptist,None,Christian
3206,19,Cooper Street,Jack,Clarke-Buckley,40,Husband,Married,Male,"Surveyor, mining",None,None
3207,19,Cooper Street,Gerald,Clarke-Buckley,14,Son,NA,Male,Student,None,NA
3208,19,Cooper Street,Rosemary,Clarke-Buckley,11,Daughter,NA,Female,Student,None,NA
3209,20,Cooper Street,Mandy,Higgins,54,Head,Married,Female,"Designer, interior/spatial",None,Christian
3210,20,Cooper Street,Ryan,Higgins,52,Husband,Married,Male,Ambulance person,None,Christian
3211,20,Cooper Street,Melissa,Higgins,15,Daughter,NA,Female,Student,None,NA
3212,21,Cooper Street,Leonard,Rowe,62,Head,Single,Male,Marine scientist,None,Catholic
3213,21,Cooper Street,Sheila,Baker,22,None,Single,Female,University Student,None,None
3214,21,Cooper Street,Kimberley,Mason,51,None,Single,Female,"Administrator, Civil Service",None,None
3215,21,Cooper Street,Richard,Smith,57,None,Single,Male,Land,None,Catholic
3216,22,Cooper Street,Hannah,Fisher,38,Head,Married,Female,Proofreader,None,Christian
3217,22,Cooper Street,Steven,Fisher,37,Husband,Married,Male,"Scientist, water quality",None,None
3218,22,Cooper Street,Rosemary,Fisher,5,Daughter,NA,Female,Student,None,NA
3219,22,Cooper Street,Marie,Fisher,1,Daughter,NA,Female,Child,None,NA
3220,23,Cooper Street,Natalie,Shaw,34,Head,Married,Female,Charity officer,None,Christian
3221,23,Cooper Street,Kyle,Shaw,38,Husband,Married,Male,Conference centre manager,None,Christian
3222,23,Cooper Street,Mathew,Shaw,4,Son,NA,Male,Child,None,NA
3223,23,Cooper Street,Alice,Shaw,0,Daughter,NA,Female,Child,None,NA
3224,24,Cooper Street,Emily,Lewis,34,Head,Single,Female,Unemployed,None,None
3225,24,Cooper Street,Declan,Norris,39,Partner,Single,Male,Risk manager,None,None
3226,24,Cooper Street,Chelsea,Lewis,13,Daughter,NA,Female,Student,None,NA
3227,24,Cooper Street,Toby,Lewis,10,Son,NA,Male,Student,None,NA
3228,25,Cooper Street,Eileen,Berry,59,Head,Single,Female,"Engineer, technical sales",None,Methodist
3229,25,Cooper Street,Chelsea,Berry,38,Daughter,Divorced,Female,Speech and language therapist,None,Methodist
3230,25,Cooper Street,Kayleigh,Berry,36,Daughter,Divorced,Female,Neurosurgeon,None,Methodist
3231,25,Cooper Street,Robin,Berry,35,Son,Divorced,Male,Civil Service fast streamer,None,Methodist
3232,26,Cooper Street,Maureen,Long,45,Head,Single,Female,Unemployed,None,Methodist
3233,26,Cooper Street,Alexander,Long,5,Son,NA,Male,Student,None,NA
3234,26,Cooper Street,Fiona,Long,1,Daughter,NA,Female,Child,None,NA
3235,26,Cooper Street,Christian,Read,38,Lodger,Single,Male,"Teacher, English as a foreign language",None,None
3236,27,Cooper Street,Gary,Rhodes,21,Head,Single,Male,University Student,None,Catholic
3237,27,Cooper Street,Brian,Donnelly,50,None,Single,Male,Agricultural engineer,None,None
3238,27,Cooper Street,Arthur,Nolan,44,None,Divorced,Male,Geophysicist/field seismologist,None,None
3239,27,Cooper Street,Neil,Kaur,54,None,Single,M,Ophthalmologist,None,None
3240,28,Cooper Street,Kirsty,Smith,22,Head,Single,Female,University Student,None,Methodist
3241,28,Cooper Street,Andrew,Barker,19,Partner,Single,Male,University Student,None,Methodist
3242,28,Cooper Street,Bethany,Smith,4,Daughter,NA,Female,Child,None,NA
3243,28,Cooper Street,Maureen,Smith,0,Daughter,NA,Female,Child,None,NA
3244,29,Cooper Street,Jasmine,Wood,34,Head,Single,Female,Unemployed,None,None
3245,29,Cooper Street,Janet,Wood,1,Daughter,NA,Female,Child,None,NA
3246,29,Cooper Street,Catherine,Wood,0,Daughter,NA,Female,Child,None,NA
3247,29,Cooper Street,Sarah,Morgan,51,Lodger,Single,Female,Cytogeneticist,None,None
3248,30,Cooper Street,Julie,Wright,43,Head,Married,Female,Sport and exercise psychologist,None,None
3249,30,Cooper Street,Ben,Wright,46,Husband,Married,Male,Regulatory affairs officer,None,None
3250,30,Cooper Street,Ellie,Wright,6,Daughter,NA,Female,Student,None,NA
3251,30,Cooper Street,Tom,Wright,5,Son,NA,Male,Student,None,NA
3252,31,Cooper Street,Jennifer,Taylor,80,Head,Married,Female,Retired Special educational needs teacher,None,None
3253,31,Cooper Street,Scott,Taylor,77,Husband,Married,Male,Retired Manufacturing engineer,None,None
3254,32,Cooper Street,Yvonne,Roberts,55,Head,Married,Female,"Surveyor, building control",None,Christian
3255,32,Cooper Street,Graham,Roberts,56,Husband,Married,Male,Futures trader,None,None
3256,32,Cooper Street,Jenna,Roberts,24,Daughter,Single,Female,Unemployed,None,Christian
3257,32,Cooper Street,Judith,Roberts,20,Daughter,Divorced,Female,University Student,None,Christian
3258,32,Cooper Street,Lesley,Roberts,16,Daughter,NA,Female,Student,None,NA
3259,32,Cooper Street,Philip,Roberts,14,Son,NA,Male,Student,None,NA
3260,33,Cooper Street,Georgina,Stewart,57,Head,Single,Female,Oncologist,None,Christian
3261,33,Cooper Street,Heather,Stephenson,18,Granddaughter,Single,female,Student,None,Christian
3262,33,Cooper Street,Francis,Robinson,14,Adopted Grandson,NA,Male,Student,None,NA
3263,34,Cooper Street,Lawrence,Crawford,72,Head,Widowed,Male,Retired Materials engineer,None,Christian
3264,35,Cooper Street,Adrian,Barrett-Hunt,51,Head,Married,Male,"Teacher, music",None,Christian
3265,35,Cooper Street,Emma,Barrett-Hunt,49,Wife,Married,Female,"Psychologist, prison and probation services",None,Christian
3266,35,Cooper Street,Cameron,Barrett-Hunt,15,Nephew,NA,Male,Student,None,NA
3267,35,Cooper Street,Yvonne,Pollard,14,Neice,NA,Female,Student,None,NA
3268,36,Cooper Street,Dorothy,Metcalfe,32,Head,Married,Female,Television production assistant,None,Muslim
3269,36,Cooper Street,Carl,Metcalfe,37,Husband,Married,Male,Medical illustrator,None,Muslim
3270,36,Cooper Street,Marcus,Metcalfe,11,Son,NA,Male,Student,None,NA
3271,36,Cooper Street,Sian,Metcalfe,7,Daughter,NA,Female,Student,None,NA
3272,37,Cooper Street,Hayley,Bryan,30,Head,Married,Female,Chiropractor,None,None
3273,37,Cooper Street,Shane,Bryan,34,Husband,Married,Male,"Scientist, research (life sciences)",None,None
3274,37,Cooper Street,Marie,Bryan,3,Daughter,NA,Female,Child,None,NA
3275,37,Cooper Street,Stephen,Bryan,0,Son,NA,Male,Child,None,NA
3276,38,Cooper Street,Damien,Hargreaves,38,Head,Married,Male,Medical technical officer,None,None
3277,38,Cooper Street,Barbara,Hargreaves,36,Wife,Married,Female,Clinical research associate,None,None
3278,38,Cooper Street,Elizabeth,Clark,6,Daughter,NA,Female,Student,None,NA
3279,39,Cooper Street,Vincent,Robertson,55,Head,Single,Male,Community arts worker,None,Christian
3280,39,Cooper Street,Elaine,Green,37,None,Single,Female,Medical sales representative,None,Christian
3281,39,Cooper Street,Stanley,Jones,58,None,Single,Male,Homeopath,None,None
3282,40,Cooper Street,Harriet,Lynch,33,Head,Married,Female,Chiropractor,None,Catholic
3283,40,Cooper Street,Charles,Lynch,36,Husband,Married,Male,English as a second language teacher,None,None
3284,40,Cooper Street,Joel,Lynch,4,Son,NA,Male,Child,None,NA
3285,40,Cooper Street,Gerald,Lynch,1,Son,NA,Male,Child,None,NA
3286,41,Cooper Street,Irene,Smith,35,Head,Divorced,Female,Legal secretary,None,Catholic
3287,41,Cooper Street,Kerry,Smith,5,Daughter,NA,Female,Student,None,NA
3288,41,Cooper Street,Marilyn,Smith,1,Daughter,NA,Female,Child,None,NA
3289,41,Cooper Street,Leigh,Smith,0,Son,NA,Male,Child,None,NA
3290,42,Cooper Street,Jennifer,Russell,27,Head,Single,Female,Banker,None,None
3291,42,Cooper Street,Norman,Goddard,30,Partner,Single,Male,Retail buyer,None,None
3292,42,Cooper Street,Margaret,Russell,1,Daughter,NA,Female,Child,None,NA
3293,42,Cooper Street,Tom,Thompson,44,Lodger,Single,Male,Adult nurse,None,None
3294,43,Cooper Street,Anna,Adams,33,Head,Single,Female,Unemployed,None,None
3295,43,Cooper Street,Denise,Adams,5,Daughter,NA,Female,Student,None,NA
3296,43,Cooper Street,Gavin,Adams,4,Adopted Son,NA,Male,Child,Blind,NA
3297,43,Cooper Street,Holly,Adams,3,Daughter,NA,Female,Child,None,NA
3298,44,Cooper Street,Tom,Preston,59,Head,Single,Male,"Teacher, English as a foreign language",None,Christian
3299,45,Cooper Street,Fiona,Murray,25,Head,Divorced,Female,Unemployed,None,None
3300,45,Cooper Street,Timothy,Macdonald,40,None,Single,Male,Homeopath,None,Christian
3301,45,Cooper Street,Roger,Richardson,37,None,Single,Male,Records manager,None,None
3302,45,Cooper Street,Emma,Barnett,51,None,Single,Female,"Investment banker, corporate",None,Christian
3303,46,Cooper Street,Ryan,Dean,64,Head,Married,m,Telecommunications researcher,None,Christian
3304,46,Cooper Street,Emily,Dean,64,Wife,Married,F,Dancer,None,Christian
3305,46,Cooper Street,Melanie,Dean,27,Granddaughter,Single,Female,Health physicist,None,Christian
3306,46,Cooper Street,Andrea,Watkins,25,Granddaughter,Divorced,Female,Medical illustrator,None,Christian
3307,46,Cooper Street,Lewis,Fraser,24,Grandson,Single,Male,Tax inspector,None,Christian
3308,47,Cooper Street,Gary,Ball,80,Head,Single,Male,Retired Museum/gallery exhibitions officer,None,Muslim
3309,47,Cooper Street,Stephanie,Ball,47,Daughter,Single,Female,"Development worker, community",None,Muslim
3310,47,Cooper Street,Bruce,Ball,42,Son,Single,Male,Graphic designer,None,Muslim
3311,47,Cooper Street,Paul,Ball,38,Son,Single,Male,Forensic scientist,None,Muslim
3312,47,Cooper Street,Joshua,Ball,35,Son,Single,Male,Unemployed,None,Muslim
3313,47,Cooper Street,Jacqueline,Ball,32,Daughter,Single,Female,Personnel officer,None,None
3314,48,Cooper Street,Marian,Taylor,37,Head,Single,Female,Unemployed,None,None
3315,48,Cooper Street,Abdul,Taylor,8,Son,NA,Male,Student,None,NA
3316,48,Cooper Street,Jay,Taylor,5,Son,NA,Male,Student,None,NA
3317,49,Cooper Street,Douglas,Bartlett,40,Head,Married,Male,"Accountant, chartered management",None,None
3318,49,Cooper Street,Amanda,Bartlett,34,Wife,Married,Female,Commercial horticulturist,None,None
3319,50,Cooper Street,Ellie,Stevens,44,Head,Single,Female,Unemployed,None,Methodist
3320,50,Cooper Street,Rosie,Stevens,7,Daughter,NA,Female,Student,None,NA
3321,50,Cooper Street,Reece,Stevens,5,Son,NA,Male,Student,None,NA
3322,50,Cooper Street,Chelsea,Stevens,3,Daughter,NA,Female,Child,None,NA
3323,50,Cooper Street,Abbie,Stevens,1,Daughter,NA,Female,Child,None,NA
3324,50,Cooper Street,Tracy,Stevens,0,Daughter,NA,Female,Child,None,NA
3325,51,Cooper Street,Vanessa,Sanders,37,Head,Single,Female,"Engineer, structural",None,None
3326,51,Cooper Street,Ruth,Sanders,6,Daughter,NA,Female,Student,None,NA
3327,51,Cooper Street,Diane,Sanders,4,Daughter,NA,Female,Child,None,NA
3328,51,Cooper Street,Gareth,Sanders,4,Adopted Son,NA,Male,Child,None,NA
3329,51,Cooper Street,Dawn,Sanders,0,Daughter,NA,female,Child,None,NA
3330,52,Cooper Street,Kevin,Field,60,Head,Single,Male,Control and instrumentation engineer,None,Catholic
3331,53,Cooper Street,Annette,Mistry,20,Head,Divorced,Female,University Student,None,None
3332,53,Cooper Street,Sam,Hilton,34,None,Single,Male,Sub,None,Methodist
3333,53,Cooper Street,Emily,Smith,32,None,Single,Female,Air broker,None,None
3334,53,Cooper Street,Rhys,Pearce,28,None,Single,Male,Fast food restaurant manager,None,Christian
3335,54,Cooper Street,Sally,May,39,Head,Single,Female,Tour manager,None,Christian
3336,54,Cooper Street,Justin,Hartley,41,Partner,Single,Male,Air cabin crew,None,Christian
3337,54,Cooper Street,Sandra,May,8,Daughter,NA,Female,Student,None,NA
3338,54,Cooper Street,Nicholas,May,4,Son,NA,Male,Child,None,NA
3339,55,Cooper Street,Kayleigh,Bennett,71,Head,Married,Female,"Retired Production designer, theatre/television/film",None,None
3340,55,Cooper Street,Sean,Bennett,71,Husband,Married,Male,Retired Medical sales representative,None,None
3341,55,Cooper Street,Mohammad,Bennett,41,Son,Divorced,Male,Accounting technician,None,None
3342,55,Cooper Street,Billy,Bennett,37,Son,Single,Male,Manufacturing systems engineer,None,None
3343,55,Cooper Street,Mohammed,Bennett,30,Son,Single,M,Unemployed,None,None
3344,55,Cooper Street,Sam,Bennett,26,Son,Single,Male,"Teacher, special educational needs",None,None
3345,56,Cooper Street,Michelle,Carroll,65,Head,Married,Female,"Engineer, civil (consulting)",None,None
3346,56,Cooper Street,Sean,Carroll,64,Husband,Married,Male,Recycling officer,None,None
3347,56,Cooper Street,Guy,Carroll,43,Son,Single,Male,Radio producer,None,None
3348,56,Cooper Street,Samantha,Carroll,40,Daughter,Divorced,Female,"Engineer, communications",None,None
3349,57,Cooper Street,Andrew,Hawkins,73,Head,Married,Male,Retired Medical technical officer,None,Christian
3350,57,Cooper Street,Shirley,Hawkins,69,Wife,Married,Female,Retired Radiation protection practitioner,None,None
3351,57,Cooper Street,Sheila,Hawkins,40,Daughter,Divorced,Female,"Designer, exhibition/display",Physical Disability,Christian
3352,57,Cooper Street,Roy,Hawkins,34,Son,Single,Male,Marine scientist,None,Christian
3353,58,Cooper Street,Deborah,Jones,63,Head,Married,Female,Fast food restaurant manager,None,Christian
3354,58,Cooper Street,Nicholas,Jones,66,Husband,Married,Male,Charity fundraiser,None,Christian
3355,58,Cooper Street,Janice,Jones,25,Daughter,Widowed,Female,Financial controller,None,Christian
3356,58,Cooper Street,Shane,Jones,23,Son,Single,Male,Building control surveyor,None,Christian
3357,58,Cooper Street,Andrea,Jones,23,Daughter,Divorced,Female,Exhibition designer,None,None
3358,58,Cooper Street,Tracey,Jones,19,Daughter,Single,Female,University Student,None,Christian
3359,58,Cooper Street,Derek,Jones,14,Son,NA,Male,Student,None,NA
3360,59,Cooper Street,Samantha,Wood,57,Head,Single,Female,Clinical embryologist,None,Christian
3361,60,Cooper Street,Anne,Holland,79,Head,Single,Female,Retired Broadcast journalist,None,None
